"rid","usrid"
701653049,701652934
701653088,701652934
701653673,701652934
701653750,701652934
701654000,701652934
701654558,701652934
701654658,701652934
701654701,701652934
701654748,701652934
701654752,701652934
701654757,701652934
701654761,701652934
701654810,701652934
701654843,701652934
701654854,701652934
701654874,701652934
701654882,701652934
701654900,701652934
701654945,701652934
701654985,701652934
701655121,701652934
701655186,701652934
701655278,701652934
701655563,701652934
701656013,701652934
701656058,701652934
701656068,701652934
701653088,701653049
701653673,701653049
701653750,701653049
701654000,701653049
701654558,701653049
701654658,701653049
701654701,701653049
701654748,701653049
701654752,701653049
701654757,701653049
701654761,701653049
701654810,701653049
701654843,701653049
701654854,701653049
701654874,701653049
701654882,701653049
701654900,701653049
701654945,701653049
701654985,701653049
701655121,701653049
701655186,701653049
701655278,701653049
701655563,701653049
701656013,701653049
701656058,701653049
701656068,701653049
701653673,701653088
701653750,701653088
701654000,701653088
701654558,701653088
701654658,701653088
701654701,701653088
701654748,701653088
701654752,701653088
701654757,701653088
701654761,701653088
701654810,701653088
701654843,701653088
701654854,701653088
701654874,701653088
701654882,701653088
701654900,701653088
701654945,701653088
701654985,701653088
701655121,701653088
701655186,701653088
701655278,701653088
701655563,701653088
701656013,701653088
701656058,701653088
701656068,701653088
701653750,701653673
701654000,701653673
701654558,701653673
701654658,701653673
701654701,701653673
701654748,701653673
701654752,701653673
701654757,701653673
701654761,701653673
701654810,701653673
701654843,701653673
701654854,701653673
701654874,701653673
701654882,701653673
701654900,701653673
701654945,701653673
701654985,701653673
701655121,701653673
701655186,701653673
701655278,701653673
701655563,701653673
701656013,701653673
701656058,701653673
701656068,701653673
701653750,701653675
701654000,701653675
701654558,701653675
701654658,701653675
701654701,701653675
701654748,701653675
701654752,701653675
701654757,701653675
701654761,701653675
701654810,701653675
701654843,701653675
701654854,701653675
701654874,701653675
701654882,701653675
701654900,701653675
701654945,701653675
701654985,701653675
701655121,701653675
701655186,701653675
701655278,701653675
701655563,701653675
701656013,701653675
701656058,701653675
701656068,701653675
701654000,701653748
701654558,701653748
701654658,701653748
701654701,701653748
701654748,701653748
701654752,701653748
701654757,701653748
701654761,701653748
701654810,701653748
701654843,701653748
701654854,701653748
701654874,701653748
701654882,701653748
701654900,701653748
701654945,701653748
701654985,701653748
701655121,701653748
701655186,701653748
701655278,701653748
701655563,701653748
701656013,701653748
701656058,701653748
701656068,701653748
701654000,701653750
701654558,701653750
701654658,701653750
701654701,701653750
701654748,701653750
701654752,701653750
701654757,701653750
701654761,701653750
701654810,701653750
701654843,701653750
701654854,701653750
701654874,701653750
701654882,701653750
701654900,701653750
701654945,701653750
701654985,701653750
701655121,701653750
701655186,701653750
701655278,701653750
701655563,701653750
701656013,701653750
701656058,701653750
701656068,701653750
701653675,701653827
701653750,701653827
701654000,701653827
701654558,701653827
701654658,701653827
701654701,701653827
701654748,701653827
701654752,701653827
701654757,701653827
701654761,701653827
701654810,701653827
701654843,701653827
701654854,701653827
701654874,701653827
701654882,701653827
701654900,701653827
701654945,701653827
701654985,701653827
701655121,701653827
701655186,701653827
701655278,701653827
701655563,701653827
701656013,701653827
701656058,701653827
701656068,701653827
701653675,701653830
701653750,701653830
701654000,701653830
701654558,701653830
701654658,701653830
701654701,701653830
701654748,701653830
701654752,701653830
701654757,701653830
701654761,701653830
701654810,701653830
701654843,701653830
701654854,701653830
701654874,701653830
701654882,701653830
701654900,701653830
701654945,701653830
701654985,701653830
