"rid","rca_id"
701655269,5692
701655994,5693
701656007,5693
701654584,931
701655180,930
701654326,3957
701655260,8810
701654864,4032
701655762,8017
701654962,4031
701655225,13217
701653893,13181
701655353,4263
701655048,5930
701655472,3797
701654094,9707
701655219,13216
701654958,4031
701655301,13219
701655279,13218
701653868,13180
701655194,5929
701654964,4031
701656076,6328
701654702,33
701655278,2812
701656001,5693
701654854,5275
701654679,4794
701656013,3614
701655561,4262
701655457,3797
701655563,6327
701653088,4974
701654902,4032
701654907,6503
701655728,8017
701654674,4794
701654763,8991
701654280,5700
701655191,32
701655511,10480
701655852,5927
701656068,9826
701654736,932
701655222,13216
701654733,5931
701655176,930
701654658,4249
701654758,647
701654843,9708
701655200,32
701656058,5925
701654882,10479
701654750,3957
701655214,8809
701654780,307
701654792,4970
701653956,9291
701654000,2036
701653827,2922
701654874,5274
701653972,13183
701654131,6504
701654945,6497
701654810,4258
701655151,13213
701655034,5930
701655559,5926
701654566,931
701654731,5440
701652934,4974
701654748,6923
701655147,930
701653830,3802
701655560,8017
701653673,4974
701653915,11127
701654757,5796
701655851,5927
701655242,5800
701655747,8017
701653675,6922
701655198,13215
701655020,11123
701656015,5693
701653748,8995
701654069,9707
701654594,931
701654701,4448
701654761,4447
701656060,4963
701654610,5702
701653977,9707
701654164,5700
701654592,5700
701655177,5929
701655509,8016
701655241,3474
701655186,9640
701654002,9707
701655154,930
701654844,2927
701654752,5795
701653894,13182
701654397,4794
701654714,13199
701653750,8983
701654985,29
701654558,6321
701655477,5692
701654956,4031
701654743,5701
701655190,32
701655276,646
701654857,4032
701654812,5279
701654900,3796
701654660,5702
701653960,8057
701655481,3797
701655141,3956
701654580,931
701656053,5927
701653049,4974
701654729,4033
701655256,8810
701654669,4794
701655926,8017
701655183,32
701655173,5800
701655121,3790
701654263,5700
